[4, 16, 14, 1, 0, 54.59423, 0.9997184]
[4, 16, 15, 9, 9, 54.618835, 0.9997024]
[4, 16, 16, 205, 205, 54.64358, 0.9997119]
[4, 17, 13, 1, 0, 54.71868, 0.999724]
[4, 17, 15, 127, 126, 54.795097, 0.99973184]
[4, 17, 16, 251, 254, 54.978813, 0.9997323]
[4, 17, 17, 183, 182, 55.059994, 0.99973327]
[4, 18, 13, 2, 0, 55.198757, 0.9997357]
[4, 18, 14, 75, 75, 55.227047, 0.9997347]
[4, 19, 15, 252, 254, 55.371346, 0.99973464]
[4, 19, 17, 1, 0, 55.46028, 0.9997346]
[4, 20, 13, 203, 203, 55.49034, 0.99973464]
[4, 20, 14, 254, 254, 55.520603, 0.9997346]
[4, 20, 15, 219, 219, 55.55108, 0.9997346]
[4, 21, 13, 253, 254, 55.643818, 0.99973464]
[4, 21, 15, 77, 77, 55.675175, 0.9997346]
[4, 21, 16, 1, 0, 55.770626, 0.9997346]
[4, 22, 12, 224, 224, 55.802917, 0.9997346]
[4, 22, 13, 254, 254, 55.835445, 0.9997346]
[4, 22, 14, 115, 115, 55.868225, 0.9997346]
[4, 22, 15, 2, 1, 55.968067, 0.9997346]
[4, 23, 12, 251, 254, 56.210365, 0.9997346]
[4, 23, 13, 254, 254, 56.24611, 0.9997346]
[4, 23, 23, 0, 0, 56.28215, 0.9997346]
[4, 24, 12, 253, 254, 56.3921, 0.9997346]
[4, 25, 9, 0, 0, 56.429382, 0.9997346]
[4, 25, 12, 254, 254, 56.466988, 0.9997346]
[4, 25, 14, 40, 40, 56.504917, 0.9997346]
[4, 26, 12, 207, 207, 56.54318, 0.9997346]
[4, 26, 14, 0, 0, 56.581783, 0.9997346]
[4, 27, 11, 1, 0, 56.6997, 0.9997346]
[5, 7, 11, 36, 36, 56.739723, 0.99973464]
[5, 7, 18, 0, 0, 56.780125, 0.99973464]
[5, 7, 21, 2, 0, 56.98796, 0.99973464]
[5, 8, 8, 254, 254, 57.03075, 0.99973464]
[5, 9, 12, 254, 254, 57.073963, 0.9997339]
[5, 9, 19, 253, 254, 57.20625, 0.999734]
[5, 10, 8, 0, 0, 57.25125, 0.99973404]
[5, 10, 10, 0, 0, 57.29673, 0.9997345]
[5, 11, 17, 0, 0, 57.342686, 0.9997371]
[5, 12, 18, 233, 233, 57.389133, 0.9997379]
[5, 12, 19, 255, 255, 57.43608, 0.9997379]
[5, 13, 18, 254, 254, 57.483547, 0.9997369]
[5, 14, 15, 1, 0, 57.629135, 0.99983895]
[5, 14, 16, 59, 59, 57.67877, 0.9998207]
[5, 14, 17, 249, 249, 57.728977, 0.99982864]
[5, 14, 20, 0, 0, 57.779774, 0.99982864]
[5, 15, 16, 133, 133, 57.83117, 0.9998471]
[5, 15, 17, 252, 254, 58.09769, 0.9998479]
[5, 15, 18, 187, 187, 58.153015, 0.99984854]
[5, 16, 14, 0, 0, 58.209053, 0.9998759]
[5, 17, 13, 0, 0, 58.265823, 0.9998826]
[5, 17, 16, 252, 254, 58.56138, 0.999883]
[5, 18, 13, 1, 0, 58.748875, 0.99988455]
[5, 19, 14, 221, 221, 58.813217, 0.9998848]
[5, 19, 15, 253, 254, 59.01216, 0.9998846]
[5, 19, 17, 0, 0, 59.08056, 0.9998846]
[5, 21, 13, 254, 254, 59.150043, 0.9998847]
[5, 21, 16, 0, 0, 59.220665, 0.9998847]
[5, 22, 15, 1, 1, 59.29245, 0.9998847]
[5, 23, 11, 133, 133, 59.365444, 0.9998847]
[5, 23, 12, 252, 254, 59.750027, 0.9998847]
[5, 24, 12, 254, 254, 59.831203, 0.9998847]
[5, 26, 13, 18, 18, 59.91393, 0.9998847]
[5, 27, 11, 0, 0, 59.998257, 0.9998847]
[5, 27, 12, 2, 0, 60.446384, 0.9998847]
[6, 7, 5, 0, 0, 60.541836, 0.9998847]
[6, 7, 8, 159, 159, 60.639435, 0.9998847]
[6, 7, 10, 60, 60, 60.739277, 0.9998846]
[6, 7, 12, 0, 0, 60.84147, 0.9998845]
[6, 7, 14, 0, 0, 60.946125, 0.9998847]
[6, 7, 15, 0, 0, 61.053364, 0.9998847]
[6, 7, 17, 0, 0, 61.16332, 0.9998847]
[6, 7, 19, 0, 0, 61.276127, 0.9998847]
[6, 7, 21, 1, 0, 61.63328, 0.9998847]
[6, 8, 6, 222, 222, 61.75917, 0.9998847]
[6, 8, 13, 198, 198, 61.888824, 0.9998846]
[6, 9, 19, 254, 254, 62.02246, 0.9998846]
[6, 14, 15, 0, 0, 62.160347, 0.9999375]
[6, 15, 17, 253, 254, 62.602383, 0.99993813]
[6, 17, 15, 126, 126, 62.760323, 0.9999412]
[6, 17, 16, 253, 254, 63.271847, 0.9999415]
[6, 17, 17, 182, 182, 63.45668, 0.999942]
[6, 18, 13, 0, 0, 63.649734, 0.9999427]
[6, 18, 16, 240, 240, 63.85177, 0.999943]
[6, 18, 17, 57, 57, 64.06366, 0.9999429]
[6, 19, 15, 254, 254, 64.28642, 0.9999427]
[6, 23, 12, 253, 254, 65.03276, 0.9999427]
[6, 27, 12, 1, 0, 65.934525, 0.9999427]
[7, 7, 13, 0, 0, 66.28215, 0.9999427]
[7, 7, 16, 0, 0, 66.660034, 0.9999427]
[7, 7, 21, 0, 0, 67.07396, 0.9999427]
[7, 15, 17, 254, 254, 67.53153, 0.99994147]
[7, 17, 16, 254, 254, 68.04306, 0.999941]
[7, 18, 18, 0, 0, 68.622986, 0.999941]
[7, 23, 12, 254, 254, 69.29245, 0.999941]
[7, 27, 12, 0, 0, 70.08427, 0.999941]
